n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
1000000,1000000042,1,4,0.06666666666666667,3.7333333333333334,267857.14285714284,9,0.010526315789473684,8.905263157894737,112293.14420803782,500,250,16,30,2,2,2,True,True,weak_growth,267857.14285714284,112293.14420803782,2.3853383458646618,245.23004489997402
1000000,1000000042,2,4,0.06666666666666667,3.7333333333333334,267857.14285714284,18,0.010471204188481676,17.81151832460733,56143.44503233392,500,250,16,30,2,2,2,True,True,weak_growth,267857.14285714284,56143.44503233392,4.770942408376963,245.23004489997402
1000000,1000000042,3,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,30,2,2,2,False,True,weak_growth,267857.14285714284,,,245.23004489997402
1000000,1000000042,4,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,30,2,2,2,False,True,weak_growth,267857.14285714284,,,245.23004489997402
1000000,1000000042,5,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,30,2,2,2,False,True,weak_growth,267857.14285714284,,,245.23004489997402
1000000,1000000043,1,4,0.05128205128205128,3.7948717948717947,263513.51351351355,11,0.02702702702702703,10.702702702702704,93434.34343434342,500,250,16,39,2,2,2,True,True,weak_growth,263513.51351351355,93434.34343434342,2.820306793279767,216.84202840004582
1000000,1000000043,2,4,0.027777777777777776,3.888888888888889,257142.85714285716,19,0.013392857142857142,18.745535714285715,53346.034770183374,500,250,16,36,1,1,3,True,True,weak_growth,257142.85714285716,53346.034770183374,4.820280612244899,216.84202840004582
1000000,1000000043,3,4,0.027777777777777776,3.888888888888889,257142.85714285716,,,,,500,250,16,36,1,1,3,False,True,weak_growth,257142.85714285716,,,216.84202840004582
1000000,1000000043,4,4,0.027777777777777776,3.888888888888889,257142.85714285716,,,,,500,250,16,36,1,1,3,False,True,weak_growth,257142.85714285716,,,216.84202840004582
1000000,1000000043,5,4,0.027777777777777776,3.888888888888889,257142.85714285716,,,,,500,250,16,36,1,1,3,False,True,weak_growth,257142.85714285716,,,216.84202840004582
1000000,1000000044,1,4,0.058823529411764705,3.764705882352941,265625.0,9,0.010309278350515464,8.907216494845361,112268.51851851851,500,250,16,34,2,2,2,True,True,weak_growth,265625.0,112268.51851851851,2.365979381443299,214.32704240002204
1000000,1000000044,2,4,0.058823529411764705,3.764705882352941,265625.0,18,0.009950248756218905,17.82089552238806,56113.90284757119,500,250,16,34,2,2,2,True,True,weak_growth,265625.0,56113.90284757119,4.733675373134329,214.32704240002204
1000000,1000000044,3,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,34,2,2,2,False,True,weak_growth,265625.0,,,214.32704240002204
1000000,1000000044,4,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,34,2,2,2,False,True,weak_growth,265625.0,,,214.32704240002204
1000000,1000000044,5,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,34,2,2,2,False,True,weak_growth,265625.0,,,214.32704240002204
