n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
500000,500000044,4,4,0.08,3.68,135869.5652173913,3,0.023255813953488372,2.9302325581395348,170634.92063492065,500,250,16,1.05,2.0,25,2,2,2,True,True,4,weak_growth,1.0,1.0,3.68,3.68,3.68,135869.5652173913,170634.92063492065,0.7962588473205257,115.6927267999854
500000,500000044,5,4,0.08,3.68,135869.5652173913,3,0.023255813953488372,2.9302325581395348,170634.92063492065,500,250,16,1.05,2.0,25,2,2,2,True,True,4,weak_growth,1.0,1.0,3.68,3.68,3.68,135869.5652173913,170634.92063492065,0.7962588473205257,115.6927267999854
1000000,1000000042,1,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,1.05,2.0,30,2,2,2,False,False,,,1.0,1.0,3.7333333333333334,3.7333333333333334,3.7333333333333334,267857.14285714284,,,286.40771399997175
1000000,1000000042,2,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,1.05,2.0,30,2,2,2,False,False,,,1.0,1.0,3.7333333333333334,3.7333333333333334,3.7333333333333334,267857.14285714284,,,286.40771399997175
1000000,1000000042,3,4,0.06666666666666667,3.7333333333333334,267857.14285714284,,,,,500,250,16,1.05,2.0,30,2,2,2,False,False,,,1.0,1.0,3.7333333333333334,3.7333333333333334,3.7333333333333334,267857.14285714284,,,286.40771399997175
1000000,1000000042,4,4,0.06666666666666667,3.7333333333333334,267857.14285714284,33,0.0027247956403269754,32.910081743869206,30385.825467792685,500,250,16,1.05,2.0,30,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7333333333333334,3.7333333333333334,3.7333333333333334,267857.14285714284,30385.825467792685,8.815200467107822,286.40771399997175
1000000,1000000042,5,4,0.06666666666666667,3.7333333333333334,267857.14285714284,43,0.006276150627615063,42.73012552301255,23402.69277845777,500,250,16,1.05,2.0,30,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7333333333333334,3.7333333333333334,3.7333333333333334,267857.14285714284,23402.69277845777,11.445569336521219,286.40771399997175
1000000,1000000043,1,4,0.05128205128205128,3.7948717948717947,263513.51351351355,,,,,500,250,16,1.05,2.0,39,2,2,2,False,False,,,1.0,1.0,3.888888888888889,3.888888888888889,3.888888888888889,263513.51351351355,,,258.89542139996774
1000000,1000000043,2,4,0.027777777777777776,3.888888888888889,257142.85714285716,,,,,500,250,16,1.05,2.0,36,1,1,3,False,False,,,1.0,1.0,3.888888888888889,3.888888888888889,3.888888888888889,257142.85714285716,,,258.89542139996774
1000000,1000000043,3,4,0.027777777777777776,3.888888888888889,257142.85714285716,,,,,500,250,16,1.05,2.0,36,1,1,3,False,False,,,1.0,1.0,3.888888888888889,3.888888888888889,3.888888888888889,257142.85714285716,,,258.89542139996774
1000000,1000000043,4,4,0.027777777777777776,3.888888888888889,257142.85714285716,4,0.05128205128205128,3.7948717948717947,263513.51351351355,500,250,16,1.05,2.0,36,1,1,3,True,True,4,weak_growth,1.0,1.0,3.888888888888889,3.888888888888889,3.888888888888889,257142.85714285716,263513.51351351355,0.9758241758241758,258.89542139996774
1000000,1000000043,5,4,0.027777777777777776,3.888888888888889,257142.85714285716,4,0.05128205128205128,3.7948717948717947,263513.51351351355,500,250,16,1.05,2.0,36,1,1,3,True,True,4,weak_growth,1.0,1.0,3.888888888888889,3.888888888888889,3.888888888888889,257142.85714285716,263513.51351351355,0.9758241758241758,258.89542139996774
1000000,1000000044,1,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,1.05,2.0,34,2,2,2,False,False,,,1.0,1.0,3.764705882352941,3.764705882352941,3.764705882352941,265625.0,,,280.66054810001515
1000000,1000000044,2,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,1.05,2.0,34,2,2,2,False,False,,,1.0,1.0,3.764705882352941,3.764705882352941,3.764705882352941,265625.0,,,280.66054810001515
1000000,1000000044,3,4,0.058823529411764705,3.764705882352941,265625.0,,,,,500,250,16,1.05,2.0,34,2,2,2,False,False,,,1.0,1.0,3.764705882352941,3.764705882352941,3.764705882352941,265625.0,,,280.66054810001515
1000000,1000000044,4,4,0.058823529411764705,3.764705882352941,265625.0,34,0.005154639175257732,33.824742268041234,29564.15726912527,500,250,16,1.05,2.0,34,2,2,2,True,True,4,weak_growth,1.0,1.0,3.764705882352941,3.764705882352941,3.764705882352941,265625.0,29564.15726912527,8.984697164948452,280.66054810001515
1000000,1000000044,5,4,0.058823529411764705,3.764705882352941,265625.0,43,0.006160164271047228,42.73511293634497,23399.961560638094,500,250,16,1.05,2.0,34,2,2,2,True,True,4,weak_growth,1.0,1.0,3.764705882352941,3.764705882352941,3.764705882352941,265625.0,23399.961560638094,11.351514373716633,280.66054810001515
