task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Vertex Cover,22,65,weighted_G_0.1_depth2,0.1,True,True,18,0,17380
Vertex Cover,22,65,weighted_G_0.2_depth2,0.2,True,True,18,0,17380
Vertex Cover,22,65,weighted_G_0.4_depth2,0.4,True,True,18,0,17380
Vertex Cover,22,65,LG_depth2,1.0,True,True,18,0,15420
Vertex Cover,23,66,L_depth2,0.0,True,True,18,0,17644
Vertex Cover,23,66,weighted_G_0.1_depth2,0.1,True,True,18,0,17644
Vertex Cover,23,66,weighted_G_0.2_depth2,0.2,True,True,18,0,17644
Vertex Cover,23,66,weighted_G_0.4_depth2,0.4,True,True,18,0,17644
Vertex Cover,23,66,LG_depth2,1.0,True,True,18,0,15654
Vertex Cover,24,67,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,24,67,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,24,67,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,24,67,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,24,67,LG_depth2,1.0,True,True,18,0,13440
Vertex Cover,25,68,L_depth2,0.0,True,True,18,0,17380
Vertex Cover,25,68,weighted_G_0.1_depth2,0.1,True,True,18,0,17380
Vertex Cover,25,68,weighted_G_0.2_depth2,0.2,True,True,18,0,17380
Vertex Cover,25,68,weighted_G_0.4_depth2,0.4,True,True,18,0,17380
Vertex Cover,25,68,LG_depth2,1.0,True,True,18,0,15506
Vertex Cover,26,69,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,26,69,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,26,69,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,26,69,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,26,69,LG_depth2,1.0,True,True,18,0,14372
Vertex Cover,27,70,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,27,70,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,27,70,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,27,70,weighted_G_0.4_depth2,0.4,True,True,18,0,17648
Vertex Cover,27,70,LG_depth2,1.0,True,True,18,0,12762
Vertex Cover,28,71,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,28,71,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,28,71,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,28,71,weighted_G_0.4_depth2,0.4,True,True,18,0,17648
Vertex Cover,28,71,LG_depth2,1.0,True,True,18,0,13844
Vertex Cover,29,72,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,29,72,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,29,72,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,29,72,weighted_G_0.4_depth2,0.4,True,True,18,0,17652
Vertex Cover,29,72,LG_depth2,1.0,True,True,18,0,14476
